Time[s], data, clock, present
0, 1, 1, 1
2.0499085, 1, 1, 0
2.0520535, 1, 0, 0
2.0525495, 1, 1, 0
2.0535555, 1, 0, 0
2.0540515, 1, 1, 0
2.0550575, 1, 0, 0
2.0555535, 1, 1, 0
2.0565595, 1, 0, 0
2.0570555, 1, 1, 0
2.0580615, 1, 0, 0
2.0585575, 1, 1, 0
2.0595635, 1, 0, 0
2.0600595, 1, 1, 0
2.0610655, 1, 0, 0
2.0615615, 1, 1, 0
2.0625675, 1, 0, 0
2.0630635, 1, 1, 0
2.0640695, 1, 0, 0
2.064565, 1, 1, 0
2.0655715, 1, 0, 0
2.066067, 1, 1, 0
2.0670735, 1, 0, 0
2.067569, 1, 1, 0
2.0685755, 1, 0, 0
2.069071, 1, 1, 0
2.070077, 1, 0, 0
2.070573, 1, 1, 0
2.071579, 1, 0, 0
2.072075, 1, 1, 0
2.073081, 1, 0, 0
2.073577, 1, 1, 0
2.074583, 1, 0, 0
2.075079, 1, 1, 0
2.076085, 1, 0, 0
2.076581, 1, 1, 0
2.077587, 1, 0, 0
2.078083, 1, 1, 0
2.079089, 1, 0, 0
2.079585, 1, 1, 0
2.080591, 1, 0, 0
2.081087, 1, 1, 0
2.082093, 1, 0, 0
2.0825885, 1, 1, 0
2.083595, 1, 0, 0
2.0840905, 1, 1, 0
2.085097, 1, 0, 0
2.0855925, 1, 1, 0
2.086599, 1, 0, 0
2.0870945, 1, 1, 0
2.08815, 1, 0, 0
2.088646, 1, 1, 0
2.089143, 0, 1, 0
2.089654, 0, 0, 0
2.09015, 0, 1, 0
2.091158, 0, 0, 0
2.091654, 0, 1, 0
2.092151, 1, 1, 0
2.092662, 1, 0, 0
2.0931585, 1, 1, 0
2.0936555, 0, 1, 0
2.094166, 0, 0, 0
2.0946625, 0, 1, 0
2.0951595, 1, 1, 0
2.0957395, 1, 0, 0
2.096236, 1, 1, 0
2.097244, 1, 0, 0
2.0977405, 1, 1, 0
2.0987485, 1, 0, 0
2.099245, 1, 1, 0
2.100253, 1, 0, 0
2.100749, 1, 1, 0
2.1017575, 1, 0, 0
2.1022535, 1, 1, 0
2.1027505, 0, 1, 0
2.103324, 0, 0, 0
2.10382, 0, 1, 0
2.104317, 1, 1, 0
2.1048285, 1, 0, 0
2.1053245, 1, 1, 0
2.1063325, 1, 0, 0
2.106829, 1, 1, 0
2.107837, 1, 0, 0
2.1083335, 1, 1, 0
2.1093415, 1, 0, 0
2.109838, 1, 1, 0
2.110335, 0, 1, 0
2.1109215, 0, 0, 0
2.111418, 0, 1, 0
2.1119145, 1, 1, 0
2.112426, 1, 0, 0
2.112922, 1, 1, 0
2.1139305, 1, 0, 0
2.1144265, 1, 1, 0
2.115435, 1, 0, 0
2.115931, 1, 1, 0
2.116939, 1, 0, 0
2.1174355, 1, 1, 0
2.1179325, 0, 1, 0
2.1185055, 0, 0, 0
2.119002, 0, 1, 0
2.119499, 1, 1, 0
2.12001, 1, 0, 0
2.1205065, 1, 1, 0
2.1215145, 1, 0, 0
2.122011, 1, 1, 0
2.123019, 1, 0, 0
2.1235155, 1, 1, 0
2.1245235, 1, 0, 0
2.12502, 1, 1, 0
2.1255165, 0, 1, 0
2.1261035, 0, 0, 0
2.1265995, 0, 1, 0
2.1270965, 1, 1, 0
2.127608, 1, 0, 0
2.128104, 1, 1, 0
2.1291125, 1, 0, 0
2.1296085, 1, 1, 0
2.1306165, 1, 0, 0
2.131113, 1, 1, 0
2.132121, 1, 0, 0
2.1326175, 1, 1, 0
2.1331145, 0, 1, 0
2.1336875, 0, 0, 0
2.134184, 0, 1, 0
2.134681, 1, 1, 0
2.135192, 1, 0, 0
2.1356885, 1, 1, 0
2.1366965, 1, 0, 0
2.137193, 1, 1, 0
2.138201, 1, 0, 0
2.1386975, 1, 1, 0
2.1397055, 1, 0, 0
2.1402015, 1, 1, 0
2.1406985, 0, 1, 0
2.1412855, 0, 0, 0
2.1417815, 0, 1, 0
2.1422785, 1, 1, 0
2.1427895, 1, 0, 0
2.143286, 1, 1, 0
2.144294, 1, 0, 0
2.1447905, 1, 1, 0
2.1457985, 1, 0, 0
2.146295, 1, 1, 0
2.147303, 1, 0, 0
2.1477995, 1, 1, 0
2.148296, 0, 1, 0
2.1488695, 0, 0, 0
2.149366, 0, 1, 0
2.1498625, 1, 1, 0
2.150374, 1, 0, 0
2.1508705, 1, 1, 0
2.151367, 0, 1, 0
2.151878, 0, 0, 0
2.152374, 0, 1, 0
2.153382, 0, 0, 0
2.153878, 0, 1, 0
2.154375, 1, 1, 0
2.1548865, 1, 0, 0
2.1553825, 1, 1, 0
2.1558795, 0, 1, 0
2.156466, 0, 0, 0
2.1569625, 0, 1, 0
2.15797, 0, 0, 0
2.1584665, 0, 1, 0
2.1589635, 1, 1, 0
2.1594745, 1, 0, 0
2.159971, 1, 1, 0
2.1604675, 0, 1, 0
2.1609785, 0, 0, 0
2.161475, 0, 1, 0
2.1619715, 1, 1, 0
2.162483, 1, 0, 0
2.162979, 1, 1, 0
2.163476, 0, 1, 0
2.1640495, 0, 0, 0
2.1645455, 0, 1, 0
2.1650425, 1, 1, 0
2.165554, 1, 0, 0
2.16605, 1, 1, 0
2.1670585, 1, 0, 0
2.1675545, 1, 1, 0
2.1685625, 1, 0, 0
2.169059, 1, 1, 0
2.170067, 1, 0, 0
2.1705635, 1, 1, 0
2.1710605, 0, 1, 0
2.1716465, 0, 0, 0
2.172143, 0, 1, 0
2.1726395, 1, 1, 0
2.173151, 1, 0, 0
2.1736475, 1, 1, 0
2.174144, 0, 1, 0
2.174655, 0, 0, 0
2.1751515, 0, 1, 0
2.175648, 1, 1, 0
2.1761595, 1, 0, 0
2.1766555, 1, 1, 0
2.177664, 1, 0, 0
2.17816, 1, 1, 0
2.1792305, 1, 0, 0
2.1797265, 1, 1, 0
2.1802235, 0, 1, 0
2.1807345, 0, 0, 0
2.1812305, 0, 1, 0
2.1817275, 1, 1, 0
2.1822385, 1, 0, 0
2.182735, 1, 1, 0
2.183743, 1, 0, 0
2.1842395, 1, 1, 0
2.1852475, 1, 0, 0
2.185744, 1, 1, 0
2.186828, 1, 0, 0
2.1873245, 1, 1, 0
2.187821, 0, 1, 0
2.188332, 0, 0, 0
2.188828, 0, 1, 0
2.189836, 0, 0, 0
2.190332, 0, 1, 0
2.190829, 1, 1, 0
2.1913405, 1, 0, 0
2.1918365, 1, 1, 0
2.1928445, 1, 0, 0
2.193341, 1, 1, 0
2.193838, 0, 1, 0
2.194411, 0, 0, 0
2.1949075, 0, 1, 0
2.195915, 0, 0, 0
2.1964115, 0, 1, 0
2.1969085, 1, 1, 0
2.1974195, 1, 0, 0
2.197916, 1, 1, 0
2.198413, 0, 1, 0
2.1989235, 0, 0, 0
2.19942, 0, 1, 0
2.1999165, 1, 1, 0
2.200428, 1, 0, 0
2.2009245, 1, 1, 0
2.201421, 0, 1, 0
2.202008, 0, 0, 0
2.202504, 0, 1, 0
2.203001, 1, 1, 0
